Wavelength 	             Flux
1.816627999999999702e+03 2.448675193463909806e-03
1.818641999999999825e+03 3.597683098369994399e-03
1.820655999999999722e+03 4.255848708319035813e-03
1.822669999999999845e+03 3.448492711420423490e-03
1.824683999999999742e+03 3.014495998222712671e-03
1.826697999999999865e+03 4.944688805655287310e-03
1.828711999999999762e+03 4.850030330659130251e-03
1.830725999999999885e+03 3.464385419492038275e-03
1.832739999999999782e+03 2.828117041634738409e-03
1.834753999999999905e+03 4.503741901810429625e-03
1.836767999999999802e+03 5.149889282489832250e-03
1.838781999999999698e+03 5.433956519772191636e-03
1.840795999999999822e+03 4.993946101324967489e-03
1.842809999999999718e+03 3.234496616831630811e-03
1.844823999999999842e+03 3.706251135889836960e-03
1.846837999999999738e+03 4.922975198151320446e-03
1.848851999999999862e+03 6.278354186638989733e-03
1.850865999999999758e+03 5.360323060075859389e-03
1.852879999999999882e+03 5.069048557723470315e-03
1.854893999999999778e+03 4.216810120958834618e-03
1.856907999999999902e+03 4.215896588634671614e-03
1.858921999999999798e+03 5.161641256107201217e-03
1.860935999999999694e+03 5.711505084188668591e-03
1.862949999999999818e+03 6.223771777923939146e-03
1.864963999999999714e+03 4.417663285677890690e-03
1.866977999999999838e+03 5.519617389967552273e-03
1.868991999999999734e+03 5.932175932542953049e-03
1.871005999999999858e+03 5.544131272435034487e-03
1.873019999999999754e+03 6.090643951789672002e-03
1.875033999999999878e+03 5.927080350232294056e-03
1.877047999999999774e+03 4.675403347688525391e-03
1.879061999999999898e+03 6.423784860153939485e-03
1.881075999999999794e+03 9.997578399654875186e-03
1.883089999999999691e+03 9.599847542542016415e-03
1.885103999999999814e+03 6.549934951952894428e-03
1.887117999999999711e+03 7.821351597682090276e-03
1.889131999999999834e+03 1.084243512799109958e-02
1.891145999999999731e+03 9.444868390462950528e-03
1.893159999999999854e+03 7.788299171883237941e-03
1.895173999999999751e+03 1.141548156027870874e-02
1.897187999999999874e+03 9.746609494318310071e-03
1.899201999999999771e+03 5.969956691476918480e-03
1.901215999999999894e+03 7.467507017046598472e-03
1.903229999999999791e+03 9.637674207622926384e-03
1.905243999999999915e+03 1.128671481810401313e-02
1.907257999999999811e+03 8.426348708241920143e-03
1.909271999999999707e+03 4.585716508406278112e-03
1.911285999999999831e+03 3.781661163472858043e-03
1.913299999999999727e+03 3.456847630164022831e-03
1.915313999999999851e+03 4.700743540800979801e-03
1.917327999999999747e+03 3.507661144215063961e-03
1.919341999999999871e+03 5.086355175120924575e-03
1.921355999999999767e+03 8.367910183183672329e-03
1.923369999999999891e+03 8.696276852265883914e-03
1.925383999999999787e+03 6.915164257030216241e-03
1.927397999999999911e+03 6.658502989472736555e-03
1.929411999999999807e+03 5.079193816197840293e-03
1.931425999999999704e+03 3.366811904165009726e-03
1.933439999999999827e+03 5.314967786896323577e-03
1.935453999999999724e+03 9.489397352997518478e-03
1.937467999999999847e+03 5.096959495064724323e-03
1.939481999999999744e+03 1.611484791667140747e-03
1.941495999999999867e+03 3.621793006744380115e-03
1.943509999999999764e+03 3.732178927683158648e-03
1.945523999999999887e+03 3.280517529141838574e-03
1.947537999999999784e+03 6.756283082461010323e-03
1.949551999999999907e+03 8.828716086196007271e-03
1.951565999999999804e+03 5.794411585567456682e-03
1.953579999999999700e+03 6.611311470415486002e-03
1.955593999999999824e+03 8.360611105819759636e-03
1.957607999999999720e+03 8.445262040782375995e-03
1.959621999999999844e+03 7.630060683371232139e-03
1.961635999999999740e+03 9.047734313260349936e-03
1.963649999999999864e+03 1.043556894763661771e-02
1.965663999999999760e+03 7.795460530806323958e-03
1.967677999999999884e+03 6.042901558969107807e-03
1.969691999999999780e+03 7.439779704293115678e-03
1.971705999999999904e+03 1.127331022319669890e-02
1.973719999999999800e+03 1.172534805214295144e-02
1.975733999999999696e+03 9.794581417873590018e-03
1.977747999999999820e+03 1.035367238149056957e-02
1.979761999999999716e+03 1.021765246809890060e-02
1.981775999999999840e+03 8.740209034890190215e-03
1.983789999999999736e+03 1.237891386616831596e-02
1.985803999999999860e+03 1.444331329418832056e-02
1.987817999999999756e+03 1.217522829218289047e-02
1.989831999999999880e+03 1.099250232234728203e-02
1.991845999999999776e+03 1.406591886017114282e-02
1.993859999999999900e+03 1.529092439134111837e-02
1.995873999999999796e+03 1.297973351735634898e-02
1.997887999999999693e+03 1.234145445026295362e-02
1.999901999999999816e+03 1.858583808816422975e-02
2.001915999999999713e+03 1.994071210903553340e-02
2.003929999999999836e+03 1.655352705685728468e-02
2.005943999999999733e+03 1.672158946081506170e-02
2.007957999999999856e+03 1.699440969209642036e-02
2.009971999999999753e+03 1.362898415356908997e-02
2.011985999999999876e+03 1.196181061504557504e-02
2.013999999999999773e+03 1.439185250346538408e-02
2.016013999999999896e+03 1.997798790035312452e-02
2.018027999999999793e+03 2.080466579449997966e-02
2.020041999999999689e+03 1.848576268782882101e-02
2.022055999999999813e+03 1.580410920801524066e-02
2.024069999999999709e+03 1.598539258229256591e-02
2.026083999999999833e+03 1.878194914790408745e-02
